origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
VTA,749,ACB,56,2.728700554
VMH,693,PAG,795,2.474170485
BLA,295,ACB,56,1.850858184
AIv,119,AId,104,1.836331327
PL,972,ACB,56,1.645872211
PVT,149,ACB,56,1.617174832
VTA,749,OT,754,1.460076069
ORBl,723,AId,104,1.417914857
ORBvl,746,ACB,56,1.411998582
BLA,295,OT,754,1.395629505
ORBvl,746,PL,972,1.335129877
DR,872,MOB,507,1.244374796
ORBvl,746,ORBm,731,1.149921299
BMA,319,ACB,56,1.144555975
ORBvl,746,ORBl,723,1.098459083
AIv,119,ACB,56,1.082805881
ORBvl,746,AIv,119,1.081418348
TU,614,PAG,795,1.021001201
BMA,319,MEA,403,0.980545184
BMA,319,COAp,647,0.936430053
VMH,693,LHA,194,0.915032233
IF,12,ACB,56,0.862972457
BMA,319,OT,754,0.862458918
ORBl,723,AIv,119,0.858400919
SUB,502,ACB,56,0.853096546
MDRN,395,IRN,136,0.818693842
COAp,647,ACB,56,0.79698696
COAp,647,MEA,403,0.784006954
AAA,23,MOB,507,0.77587753
IRN,136,PARN,852,0.747478262
ORBl,723,ORBvl,746,0.744662624
NDB,596,LSr,258,0.734649425
VISpor,312782628,TEa,541,0.730602289
BLA,295,PL,972,0.715464873
AOB,151,MOB,507,0.709107636
ORBm,731,PL,972,0.690173335
AIv,119,ORBl,723,0.685231988
BMA,319,BST,351,0.665451928
MEA,403,COAp,647,0.664994697
VMH,693,BST,351,0.664204065
AId,104,GU,1057,0.659390019
AIv,119,PL,972,0.632255544
ILA,44,PAG,795,0.621760471
DMH,830,PAG,795,0.617465199
AId,104,AIp,111,0.613451059
NDB,596,LHA,194,0.607877712
TT,589,MOB,507,0.603555754
PL,972,ORBm,731,0.603166217
PVT,149,BST,351,0.600028265
IRN,136,MDRN,395,0.591127219
BMA,319,BLA,295,0.590159895
BMA,319,CEA,536,0.589401482
ProS,484682470,ACB,56,0.573850152
PL,972,ILA,44,0.570527832
COAp,647,OT,754,0.569173847
AIv,119,AIp,111,0.568551141
NDB,596,MOB,507,0.564113841
LHA,194,PAG,795,0.560507237
ILA,44,ACB,56,0.558120702
DR,872,AId,104,0.555578885
ZI,797,PAG,795,0.548846119
TU,614,BST,351,0.531261538
AId,104,AIv,119,0.529965104
DR,872,OT,754,0.519787492
COAp,647,BMA,319,0.51951774
TT,589,OT,754,0.514812196
ORBm,731,ACB,56,0.504560801
BST,351,ACB,56,0.499354547
MPO,523,PAG,795,0.495414118
MDRN,395,PAG,795,0.494518898
ORBvl,746,ILA,44,0.490173402
MPO,523,LHA,194,0.490159328
DR,872,AIp,111,0.476657406
ORBl,723,ACB,56,0.474340874
PB,867,PAG,795,0.470285575
AIv,119,ORBm,731,0.467481672
BLA,295,AId,104,0.452422079
ACB,56,MOB,507,0.444007757
IF,12,OT,754,0.443785483
PL,972,PAG,795,0.442216827
BLA,295,CEA,536,0.434355109
ORBvl,746,AId,104,0.426955773
ORBvl,746,PAG,795,0.42186993
AId,104,ACB,56,0.421488484
VTA,749,LHA,194,0.421395972
PL,972,AIv,119,0.417273224
PVT,149,BMA,319,0.416878932
ORBm,731,AIv,119,0.41505778
TU,614,LHA,194,0.413986486
MV,202,PAG,795,0.410045171
DMH,830,ORBl,723,0.394201539
NDB,596,SUB,502,0.386001273
PARN,852,IRN,136,0.385436205
VMH,693,MPO,523,0.384871735
VMH,693,ZI,797,0.379314679
ORBm,731,ORBvl,746,0.377822294
NTS,651,IRN,136,0.376940869
BST,351,PAG,795,0.375720083
PL,972,OT,754,0.374091
SUB,502,LSr,258,0.368843605
ORBl,723,PL,972,0.368446377
BST,351,MEA,403,0.365138574
AIv,119,ORBvl,746,0.357999892
PVT,149,OT,754,0.355335721
MDRN,395,PARN,852,0.352887151
ORBvl,746,OT,754,0.345180676
TT,589,ACB,56,0.344371006
DMH,830,ORBvl,746,0.343306904
ILA,44,PL,972,0.342928374
DMH,830,PL,972,0.342057393
NTS,651,MDRN,395,0.339596534
ProS,484682470,SUB,502,0.338042586
DR,872,PAG,795,0.337860018
VMH,693,LSr,258,0.334066722
PL,972,ORBvl,746,0.333657191
COAp,647,BST,351,0.332920994
BMA,319,PA,780,0.33279604
MEA,403,BMA,319,0.32496855
VTA,749,PAG,795,0.324818668
AIv,119,OT,754,0.324413599
SUB,502,ProS,484682470,0.315157285
PVT,149,VMH,693,0.313689827
TU,614,MPO,523,0.313564828
COAp,647,PA,780,0.313313955
DMH,830,AIv,119,0.31158877
AIv,119,MOB,507,0.311447187
CEA,536,BST,351,0.308183283
VMH,693,MEA,403,0.305905736
IRN,136,MV,202,0.304957243
ORBm,731,ILA,44,0.303792382
COAp,647,BLA,295,0.301793641
ORBl,723,ORBm,731,0.301599318
VMH,693,TU,614,0.299115394
DR,872,BLA,295,0.298351793
PSTN,364,PAG,795,0.297184912
MS,564,LSr,258,0.294633962
NDB,596,BST,351,0.294550221
PVT,149,LSv,266,0.292200612
PVT,149,LSr,258,0.290561474
DR,872,GU,1057,0.289601781
AAA,23,OT,754,0.287998737
CEA,536,MEA,403,0.286455005
CEA,536,PAG,795,0.285204412
ILA,44,LHA,194,0.282836154
AId,104,PL,972,0.281988219
MEA,403,BST,351,0.280227292
NDB,596,ACB,56,0.280021629
PVT,149,BLA,295,0.279647674
NDB,596,ProS,484682470,0.277840863
ORBvl,746,TEa,541,0.273161587
ACB,56,LHA,194,0.269425644
VMH,693,CEA,536,0.268186924
LSr,258,NDB,596,0.267605258
COAp,647,CEA,536,0.267374065
ZI,797,CEA,536,0.264791042
PB,867,MOB,507,0.262344266
PSTN,364,CEA,536,0.262223808
DR,872,ACB,56,0.260805009
PAG,795,LHA,194,0.260501924
ProS,484682470,LSr,258,0.259817103
MEA,403,LHA,194,0.259787156
BLA,295,ORBl,723,0.258638065
NDB,596,PAG,795,0.258390122
DR,872,AIv,119,0.257150125
MEA,403,CEA,536,0.255893206
MEA,403,BLA,295,0.255749776
VMH,693,LSv,266,0.254856272
MPO,523,LSr,258,0.254421637
MEA,403,MOB,507,0.25362851
PB,867,CEA,536,0.253476627
BLA,295,AIv,119,0.253092086
BLA,295,LA,131,0.253024451
MS,564,NDB,596,0.250487098
IRN,136,PB,867,0.249332796
CEA,536,BMA,319,0.24845784
BST,351,LHA,194,0.24608264
AId,104,ORBl,723,0.246007738
ORBl,723,PAG,795,0.243682517
PVT,149,MEA,403,0.24065617
AIv,119,BLA,295,0.237647299
PSTN,364,LHA,194,0.2365405
ACB,56,BST,351,0.236322445
NDB,596,MPO,523,0.235894457
NDB,596,TRS,581,0.235065799
ZI,797,BMA,319,0.234722656
PL,972,AId,104,0.234612821
BLA,295,TEa,541,0.234207599
PVT,149,CEA,536,0.23297557
