origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
AHN,88,root,997,1.5237240743638998
AHN,88,grey,8,1.48389700056368
AHN,88,IB,1129,1.47801181247173
AHN,88,BS,343,1.47801181247173
VMH,693,root,997,1.4650752256
VMH,693,HY,1097,1.4277513376
VMH,693,grey,8,1.4277512932176297
VMH,693,IB,1129,1.4277512932176297
VMH,693,BS,343,1.4277512932176297
AHN,88,HY,1097,1.3396987309748998
MM,491,root,997,1.14201361967656
MPN,515,root,997,1.1082653008
MPN,515,grey,8,1.09044716254389
MM,491,BS,343,1.07072154528955
MM,491,grey,8,1.07072154528955
PH,946,root,997,1.0137823836
PH,946,grey,8,0.973890011972121
PH,946,BS,343,0.973890011972121
LHA,194,root,997,0.8588222944
DMH,830,root,997,0.8487472126875
LHA,194,grey,8,0.8374812076215509
DMH,830,IB,1129,0.837378482253483
DMH,830,grey,8,0.837378482253483
DMH,830,BS,343,0.837378482253483
LHA,194,BS,343,0.832447040967987
LHA,194,IB,1129,0.8186082710929871
LHA,194,HY,1097,0.8146106528
ZI,797,root,997,0.8033822831999999
ZI,797,grey,8,0.772148986699633
TU,614,root,997,0.7651328832
TU,614,IB,1129,0.7550972922718749
TU,614,grey,8,0.7550972922718749
TU,614,BS,343,0.7550972922718749
TU,614,HY,1097,0.7550242224
MPO,523,root,997,0.7360870944
MPO,523,grey,8,0.734851806470122
ZI,797,BS,343,0.722076802224254
MM,491,HY,1097,0.6995528512000001
MM,491,IB,1129,0.6995528304036689
MM,491,MEZ,467,0.670808529260693
MPO,523,BS,343,0.6634687958180451
MPO,523,IB,1129,0.6634687958180451
MPO,523,HY,1097,0.6634687807999999
ZI,797,IB,1129,0.6262191599604371
DMH,830,HY,1097,0.6228177536
PH,946,IB,1129,0.611394557982851
PH,946,HY,1097,0.5869728228
ZI,797,HY,1097,0.5735880808
MPN,515,BS,343,0.567680950290747
MPN,515,IB,1129,0.567680950290747
MPN,515,HY,1097,0.5675145504
AHN,88,MEZ,467,0.56245343258125
MM,491,MB,313,0.5616323202875
PH,946,MEZ,467,0.52929671098418
MPN,515,CH,567,0.52276621225314
LHA,194,LZ,290,0.5219241143375001
MPN,515,CNU,623,0.511808240195327
VMH,693,MEZ,467,0.505907462440625
ZI,797,LZ,290,0.49061602279375
MM,491,MBO,331,0.487167782550928
PMv,1004,root,997,0.4725371448
PMv,1004,BS,343,0.45567784635231895
