id,gender,injection_structures,injection_volume,injection_structures_volumes,injection_volume_percentages,injection_x,injection_y,injection_z,product_id,specimen_name,strain,structure_abbrev,structure_id,structure_name,transgenic_line,transgenic_line_id,id,primary_injection_structure
272824561,M,"[104, 119, 583, 672, 952, 985]",0.224145502,"{104: 0.002207, 119: 0.021282, 583: 0.015618, 672: 0.117337, 952: 0.032308, 985: 0.004195}","{104: 0.009848, 119: 0.094946, 583: 0.06968, 672: 0.523487, 952: 0.14414, 985: 0.018715}",3870,5130,7650,5,378-1869,C57BL/6J,CP,672,Caudoputamen,,,272824561,104
113400134,M,"[12, 128, 197, 214, 246, 591, 749, 795, 975, 549009211]",0.814091439,"{12: 0.014162, 128: 0.136484, 197: 0.03677, 214: 0.136115, 246: 0.006148, 591: 0.009245, 749: 0.082936, 795: 0.075737, 975: 0.013986, 549009211: 0.014699}","{12: 0.017396, 128: 0.167651, 197: 0.045167, 214: 0.167199, 246: 0.007552, 591: 0.011356, 749: 0.101875, 795: 0.093033, 975: 0.01718, 549009211: 0.018056}",8460,4390,5640,5,378-1116,C57BL/6J,MRN,128,Midbrain reticular nucleus,,,113400134,12
117317884,M,"[131, 295, 329, 536, 672, 1022]",0.4047255744,"{131: 0.064763, 295: 0.02554, 329: 0.014732, 536: 0.019486, 672: 0.152435, 1022: 0.021056}","{131: 0.160018, 295: 0.063104, 329: 0.036399, 536: 0.048146, 672: 0.376638, 1022: 0.052026}",6890,4550,8790,5,378-1193,C57BL/6J,CP,672,Caudoputamen,,,117317884,131
180073473,M,"[541, 1002, 1027]",0.0883098188,"{541: 0.01536, 1002: 0.012643, 1027: 0.05714}","{541: 0.173938, 1002: 0.143172, 1027: 0.647038}",8470,2740,9750,5,378-1817,C57BL/6J,AUDpo,1027,Posterior auditory area,,,180073473,541
127710392,M,"[194, 491, 525, 830, 879, 886, 946, 980, 1004, 1126]",0.348138092225,"{194: 0.009398, 491: 0.026297, 525: 0.038415, 830: 0.002454, 879: 0.015863, 886: 0.012122, 946: 0.107261, 980: 0.064152, 1004: 0.038012, 1126: 0.006213}","{194: 0.026994, 491: 0.075535, 525: 0.110345, 830: 0.00705, 879: 0.045567, 886: 0.034818, 946: 0.308099, 980: 0.18427, 1004: 0.109188, 1126: 0.017846}",7680,5950,5690,5,378-1442,C57BL/6J,PH,946,Posterior hypothalamic nucleus,,,127710392,194
307297141,M,"[385, 409]",0.6636360864,"{385: 0.621577, 409: 0.030248}","{385: 0.936623, 409: 0.045579}",9230,1910,8430,5,C57BL/6-152922,C57BL/6J,VISp,385,Primary visual area,,,307297141,385
180917660,M,"[111, 378, 677, 1057]",1.2988013696,"{111: 0.350481, 378: 0.122063, 677: 0.774462, 1057: 0.050186}","{111: 0.26985, 378: 0.093981, 677: 0.59629, 1057: 0.03864}",6370,4320,10280,5,378-1826,C57BL/6J,VISC,677,Visceral area,,,180917660,111
174360333,M,"[345, 353, 378, 677, 1057]",0.2231006848,"{345: 0.004218, 353: 0.003279, 378: 0.193599, 677: 0.009732, 1057: 0.012208}","{345: 0.018904, 353: 0.014697, 378: 0.867764, 677: 0.043623, 1057: 0.054722}",4920,4350,9770,5,378-1766,C57BL/6J,SSs,378,Supplemental somatosensory area,,,174360333,345
100140949,M,"[879, 886]",0.1845043648,"{879: 0.050178, 886: 0.134327}","{879: 0.271959, 886: 0.728041}",7450,810,6090,5,378-601,C57BL/6J,RSPv,886,"Retrosplenial area, ventral part",,,100140949,879
156978574,M,"[128, 271, 294, 580]",0.2196725272,"{128: 0.167091, 271: 0.004184, 294: 0.001828, 580: 0.014807}","{128: 0.760635, 271: 0.019045, 294: 0.008322, 580: 0.067404}",9060,3500,7780,5,378-1596,C57BL/6J,MRN,128,Midbrain reticular nucleus,,,156978574,128
147790181,M,"[136, 395, 429, 852, 978, 1098, 1107]",0.0146907047,"{136: 0.007272, 395: 0.004071, 429: 0.00227, 852: 0.000619, 978: 0.000127, 1098: 0.003484, 1107: 0.000587}","{136: 0.495008, 395: 0.277087, 429: 0.154535, 852: 0.042122, 978: 0.008615, 1098: 0.237143, 1107: 0.039945}",12290,6350,6740,5,378-1569,C57BL/6J,IRN,136,Intermediate reticular nucleus,,,147790181,136
100141454,M,"[39, 993]",0.0990279514,"{39: 0.025831, 993: 0.073197}","{39: 0.260841, 993: 0.739159}",3310,2180,6270,5,378-695,C57BL/6J,MOs,993,Secondary motor area,,,100141454,39
126523791,M,"[215, 294, 502, 628, 706, 886, 1061, 484682470]",0.3590115536,"{215: 0.010215, 294: 0.050416, 502: 0.067623, 628: 0.066513, 706: 0.01442, 886: 0.00712, 1061: 0.062151, 484682470: 0.002886}","{215: 0.028454, 294: 0.14043, 502: 0.188358, 628: 0.185266, 706: 0.040166, 886: 0.019831, 1061: 0.173116, 484682470: 0.008038}",7960,2400,6420,5,378-1282,C57BL/6J,SUB,502,Subiculum,,,126523791,215
146046430,M,"[64, 127, 155, 255, 362, 575, 629, 907, 1113]",0.1065251376,"{64: 0.015522, 127: 0.012659, 155: 0.00265, 255: 0.050749, 362: 0.002083, 575: 0.003736, 629: 0.002235, 907: 0.001693, 1113: 0.014148}","{64: 0.145709, 127: 0.118834, 155: 0.024881, 255: 0.476407, 362: 0.01955, 575: 0.035073, 629: 0.020977, 907: 0.01589, 1113: 0.132816}",6270,3900,6470,5,378-1373,C57BL/6J,AV,255,Anteroventral nucleus of thalamus,,,146046430,64
272916202,M,"[385, 409, 425]",0.03133389035,"{385: 0.004731, 409: 0.003642, 425: 0.022954}","{385: 0.150991, 409: 0.116235, 425: 0.732563}",9840,1970,9160,5,378-1888,C57BL/6J,VISpl,425,Posterolateral visual area,,,272916202,385
175106053,M,"[30, 38, 63, 88, 118, 181, 347, 515, 693, 797, 830, 1077, 560581559, 576073704]",0.83796889155,"{30: 0.00624, 38: 0.076269, 63: 0.077474, 88: 0.168831, 118: 0.020206, 181: 0.041442, 347: 0.026622, 515: 0.00535, 693: 0.021728, 797: 0.03849, 830: 0.028967, 1077: 0.017636, 560581559: 0.004239, 576073704: 0.030364}","{30: 0.007447, 38: 0.091017, 63: 0.092454, 88: 0.201477, 118: 0.024113, 181: 0.049455, 347: 0.031769, 515: 0.006385, 693: 0.025929, 797: 0.045932, 830: 0.034568, 1077: 0.021046, 560581559: 0.005058, 576073704: 0.036236}",6350,5600,5640,5,378-1781,C57BL/6J,AHN,88,Anterior hypothalamic nucleus,,,175106053,30
147162027,M,[4],0.0508223737,{4: 0.050822},{4: 1.0},10280,2000,7290,5,378-1538,C57BL/6J,IC,4,Inferior colliculus,,,147162027,4
126352037,M,"[128, 616, 795, 1052]",0.0187546422,"{128: 0.007696, 616: 0.000504, 795: 0.007589, 1052: 0.00114}","{128: 0.41037, 616: 0.026886, 795: 0.404636, 1052: 0.06077}",9860,3760,6580,5,378-1281,C57BL/6J,MRN,128,Midbrain reticular nucleus,,,126352037,128
131068390,M,"[672, 961, 966]",0.2478796712,"{672: 0.002099, 961: 0.235946, 966: 0.009834}","{672: 0.008468, 961: 0.951857, 966: 0.039674}",5890,6220,8840,5,378-1332,C57BL/6J,PIR,961,Piriform area,,,131068390,672
120812686,M,"[151, 159, 507, 723, 746]",0.2970130884,"{151: 0.15989, 159: 0.004513, 507: 0.031698, 723: 0.00298, 746: 0.058543}","{151: 0.538326, 159: 0.015195, 507: 0.106722, 723: 0.010033, 746: 0.197106}",2170,3230,6680,5,378-1222,C57BL/6J,AOB,151,Accessory olfactory bulb,,,120812686,151
268415561,M,"[534, 616, 867, 1052]",0.3563852712,"{534: 0.02796, 616: 0.040761, 867: 0.231263, 1052: 0.010255}","{534: 0.078455, 616: 0.114374, 867: 0.648914, 1052: 0.028775}",10240,3930,7240,5,378-1858,C57BL/6J,PB,867,Parabrachial nucleus,,,268415561,534
