origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
VMH,693,root,997,21.232392742400002
VMH,693,grey,8,19.9961099598958
MM,491,root,997,19.2928124928
MM,491,grey,8,18.092621898969604
AHN,88,root,997,17.8748515904
AHN,88,grey,8,16.8356736739949
VMH,693,BS,343,15.435271214589699
DMH,830,root,997,12.4251771168
AHN,88,BS,343,12.416516955852899
DMH,830,grey,8,11.945929282372699
ZI,797,root,997,10.819332888
TU,614,root,997,10.7591775872
ZI,797,grey,8,10.3171963688398
TU,614,grey,8,10.1881849072811
LHA,194,root,997,10.004278256000001
LHA,194,grey,8,9.392550124636461
MM,491,CH,567,9.100486342904901
MM,491,BS,343,8.972622395439661
PH,946,root,997,8.7886571696
VMH,693,IB,1129,8.55534471270185
PH,946,grey,8,8.239057579220969
MPO,523,root,997,8.1439600928
ZI,797,BS,343,8.02551439256639
TU,614,BS,343,7.894639625415991
AHN,88,IB,1129,7.821545553722
MPO,523,grey,8,7.61863185262592
DMH,830,CH,567,7.42578915142895
LHA,194,BS,343,7.394634061922719
PSTN,364,root,997,7.3023183744
PSTN,364,grey,8,7.01378464041533
VMH,693,HY,1097,6.687018710399999
MM,491,IB,1129,6.10383397720024
VMH,693,MB,313,5.9829373184
DMH,830,CTX,688,5.921839460395041
AHN,88,HY,1097,5.8093659904
PMv,1004,root,997,5.7157327136000005
DMH,830,CTXpl,695,5.51654685912434
PH,946,BS,343,5.48130841224327
PH,946,CH,567,5.4260768808787905
MPO,523,BS,343,5.38525871562835
PMv,1004,grey,8,5.375647996796009
TU,614,IB,1129,5.344755168776589
DMH,830,BS,343,5.03929401985238
MPN,515,root,997,4.8926461584
TU,614,HY,1097,4.7430977664
ZI,797,MB,313,4.7176581816
VMH,693,MBmot,323,4.70883743762783
MPN,515,grey,8,4.58892566157799
MM,491,CTX,688,4.558575295384831
MM,491,CNU,623,4.54191104752007
VMH,693,CH,567,4.5285224057808495
MM,491,HY,1097,4.4205168896
AHN,88,CH,567,4.41465895234536
AHN,88,MB,313,4.3595692783999995
MM,491,CTXpl,695,4.22608204784186
ARH,223,root,997,4.1650498624
PH,946,CTX,688,3.98966545565448
ARH,223,grey,8,3.9136508314744503
ZI,797,CH,567,3.84826934183855
PH,946,CTXpl,695,3.76644704075565
PSTN,364,BS,343,3.65156105645837
DMH,830,Isocortex,315,3.63952891726779
STN,470,root,997,3.5959729666
ZI,797,MBmot,323,3.5702045526789505
LPO,226,root,997,3.5400620752
AHN,88,MBmot,323,3.44744068079311
MPO,523,IB,1129,3.41617369608325
PSTN,364,CH,567,3.3576840642792702
PMv,1004,BS,343,3.31214859039147
LPO,226,grey,8,3.2671546422773
STN,470,grey,8,3.2540185470268703
MM,491,HPF,1089,3.1717712544
DMH,830,IB,1129,3.11231256477729
MPN,515,BS,343,3.09970518911449
VMH,693,CNU,623,3.0654227264759797
MM,491,STR,477,3.0638996360000004
PH,946,Isocortex,315,3.02394008923667
PVp,126,root,997,3.0042710656000002
LHA,194,MB,313,2.9649510352
PVp,126,grey,8,2.8170491391768597
ARH,223,BS,343,2.79358407429904
MPO,523,HY,1097,2.755410336
LHA,194,IB,1129,2.7335144453944804
SUM,525,root,997,2.7038150608
PH,946,IB,1129,2.70238336143893
TU,614,CH,567,2.67937649646614
PMv,1004,IB,1129,2.64439514923964
AHN,88,CNU,623,2.6421586595684103
PSTN,364,CNU,623,2.62340956547408
SUM,525,grey,8,2.6025621264401604
PMv,1004,CH,567,2.4918466373513
LM,210,root,997,2.4895101504
VMH,693,PAG,795,2.4741704847999997
MM,491,HIP,1080,2.473152356675
LHA,194,HB,1065,2.4565312601771496
TU,614,MB,313,2.4139824912
PMv,1004,HY,1097,2.3602293736
PVH,38,root,997,2.3344267575999997
ZI,797,CTX,688,2.3316635483876
MPN,515,IB,1129,2.32751827421566
ZI,797,CTXpl,695,2.3085593541882403
ZI,797,Isocortex,315,2.2532505109075798
LM,210,grey,8,2.2390427639705197
ZI,797,IB,1129,2.2331894906596004
MPO,523,CH,567,2.22651929205989
PVH,38,grey,8,2.19871719646061
PVp,126,BS,343,2.1638381774162503
MM,491,MB,313,2.1489695584
LHA,194,MBmot,323,2.12295665947242
ARH,223,IB,1129,2.11552802906894
PVp,126,IB,1129,2.10540980324528
MPN,515,HY,1097,2.0493912488
PH,946,MB,313,2.0442318624
VMH,693,LZ,290,2.01369489756094
AHN,88,TH,549,2.012179904
PH,946,HY,1097,2.0046743976
PVp,126,HY,1097,1.9915474544
VMH,693,TH,549,1.9827652432
TU,614,CNU,623,1.9806058040131
TMv,1,root,997,1.9645782072
DMH,830,HY,1097,1.9520200952000002
LHA,194,CH,567,1.91924502998035
DMH,830,CNU,623,1.8996223054385302
TU,614,MBmot,323,1.8585616949361201
STN,470,BS,343,1.8449314371189198
VMH,693,MEZ,467,1.82756289210469
AHN,88,LZ,290,1.8047383223078102
AHN,88,CTX,688,1.77250029277695
TMv,1,grey,8,1.76589710737878
ARH,223,HY,1097,1.7577731976
PH,946,CNU,623,1.74157052892795
LPO,226,BS,343,1.72455812413772
VMH,693,STR,477,1.7210618096
MM,491,LZ,290,1.6973880886375001
DMH,830,MB,313,1.6893007936000002
LHA,194,HY,1097,1.6851097844
MM,491,TH,549,1.6833175408
VMH,693,CTX,688,1.67912061388949
PSTN,364,MB,313,1.6701620012
SUM,525,CH,567,1.6289130297077798
AHN,88,PAG,795,1.6261017696000002
ZI,797,CNU,623,1.58521471144296
MPO,523,CNU,623,1.56784959913263
AHN,88,MEZ,467,1.56390697717187
LPO,226,CH,567,1.5419103726593102
PH,946,MBmot,323,1.54004752665005
MPN,515,CH,567,1.51452515676789
AHN,88,STR,477,1.5124937604
DMH,830,STR,477,1.4883119419
ZI,797,HB,1065,1.47823304591974
MM,491,PAL,803,1.4780112256
AHN,88,DORpm,856,1.4756196099039098
LM,210,CH,567,1.46069667884808
LHA,194,MY,354,1.4134472184
PSTN,364,STR,477,1.41295792614375
MM,491,DORpm,856,1.40955320305215
STN,470,CH,567,1.40686904969868
MPO,523,MB,313,1.3916460208
VMH,693,DORpm,856,1.3601180514031201
STN,470,CNU,623,1.34892842126621
VMH,693,PAL,803,1.3443608836
TU,614,MEZ,467,1.3334667047953102
PH,946,STR,477,1.3233263596
PVHd,63,root,997,1.3203217874
DMH,830,HPF,1089,1.31592446125
AHN,88,CTXpl,695,1.3043159720972601
LHA,194,TH,549,1.287747832
ZI,797,HY,1097,1.2825045968000002
MM,491,MBmot,323,1.27962476983359
MM,491,DG,726,1.2664792203
PMv,1004,CNU,623,1.2654297817922902
PVH,38,BS,343,1.26380181847279
STN,470,MB,313,1.2585250209
ZI,797,STR,477,1.2542285
DMH,830,MBmot,323,1.24774157047217
LHA,194,CNU,623,1.2454795298516799
PMv,1004,CTX,688,1.22641685555902
